mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	classification	ago	magpsf	sigmapsf	fid
ZTF18aavqmxr	ORPHAN	58688.373680599965	16.1102	0.050379	2
ZTF18aavqmxr	ORPHAN	58691.31535879988	19.1742	0.115295	1
ZTF18aavqmxr	ORPHAN	58693.2964931	19.2304	0.124625	1
ZTF18aavqmxr	ORPHAN	58693.34584489977	16.0071	0.0532491	2
ZTF18aavqmxr	ORPHAN	58694.316400500014	19.2715	0.116935	1
ZTF18aavqmxr	ORPHAN	58695.31909719994	19.3699	0.152791	1
ZTF18aavqmxr	ORPHAN	58696.29225690011	16.2984	0.084766	2
ZTF18aavqmxr	ORPHAN	58696.32025460014	19.4015	0.126773	1
ZTF18aavqmxr	ORPHAN	58697.313171300106	16.3768	0.0588853	2
ZTF18aavqmxr	ORPHAN	58698.29454859998	16.5059	0.148029	2
ZTF18aavqmxr	ORPHAN	58699.322210600134	19.5973	0.186502	1
ZTF18aavqmxr	ORPHAN	58700.318784699775	19.7551	0.139631	1
ZTF18aavqmxr	ORPHAN	58701.322233799845	20.0597	0.202817	1
ZTF18aavqmxr	ORPHAN	58702.294108800124	16.8844	0.145975	2
ZTF18aavqmxr	ORPHAN	58702.3213657001	19.955	0.212893	1
ZTF18aavqmxr	ORPHAN	58703.2958217999	17.0657	0.0277271	2
ZTF18aavqmxr	ORPHAN	58703.2958217999	17.0335	0.12676	2
ZTF18aavqmxr	ORPHAN	58703.32174770022	20.0768	0.20974	1
ZTF18aavqmxr	ORPHAN	58704.29052079981	16.9663	0.119733	2
ZTF18aavqmxr	ORPHAN	58704.317256900016	20.0379	0.243334	1
ZTF18aavqmxr	ORPHAN	58705.207916699816	17.0233	0.102539	2
ZTF18aavqmxr	ORPHAN	58705.23734949995	20.0595	0.308831	1
ZTF18aavqmxr	ORPHAN	58706.21059030015	17.1605	0.105622	2
ZTF18aavqmxr	ORPHAN	58707.20748839993	17.2418	0.16759	2
ZTF18aavqmxr	ORPHAN	58709.20861109998	17.58	0.18784	2
ZTF18aavqmxr	ORPHAN	58719.317036999855	17.4455	0.0915705	2
ZTF18aavqmxr	ORPHAN	58722.308807900175	16.7269	0.090415	2
ZTF18aavqmxr	ORPHAN	58725.191192099825	19.5291	0.132352	1
ZTF18aavqmxr	ORPHAN	58725.2504166998	16.2669	0.104189	2
ZTF18aavqmxr	ORPHAN	58730.1495254999	16.0662	0.0566724	2
ZTF18aavqmxr	ORPHAN	58733.23266200023	16.3964	0.0607346	2
ZTF18aavqmxr	ORPHAN	58733.302766200155	19.6257	0.150072	1
ZTF18aavqmxr	ORPHAN	58749.26978009986	18.5994	0.225121	2
ZTF18aavqmxr	ORPHAN	58771.091574099846	17.1	0.104105	2
ZTF18aavqmxr	ORPHAN	58781.09696759982	17.3932	0.0804056	2
ZTF18aavqmxr	ORPHAN	58781.09696759982	17.3512	0.0481419	2
ZTF18aavqmxr	ORPHAN	58785.092152799945	17.8004	0.116347	2
