mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	mjd	fid	magpsf	mjdmin	mjdmax	maggmin	maggmax	magrmin	magrmax	latestrmag	sherlock_classification	ramean	decmean	ncand
ZTF20aadcftz	2458854.0302778	1	19.818	2458853.033287	2458867.9958912	19.5228	20.2764	19.5503	20.1317	20.0838	ORPHAN	199.28125522142858	70.32896640714286	14
ZTF20aadyqdh	2458854.0443634	2	20.0417	2458829.0661227	2458854.0443634	NULL	NULL	19.9298	20.1633	20.0417	SN	172.5787413666667	-4.0546549999999995	3
ZTF20aaejpxk	2458855.8106019	2	18.176	2458855.8106019	2458855.812419	NULL	NULL	18.176	18.2008	18.2008	ORPHAN	129.4025945666667	29.842495533333334	3
ZTF20aaejpxk	2458855.811956	2	18.176	2458855.8106019	2458855.812419	NULL	NULL	18.176	18.2008	18.2008	ORPHAN	129.4025945666667	29.842495533333334	3
ZTF20aaejpxk	2458855.812419	2	18.2008	2458855.8106019	2458855.812419	NULL	NULL	18.176	18.2008	18.2008	ORPHAN	129.4025945666667	29.842495533333334	3
ZTF20aadcisq	2458856.0533912	2	20.3224	2458853.0375231	2458856.0533912	20.2787	20.3093	20.3224	20.3423	20.3224	ORPHAN	194.52862919999998	42.735536325000005	4
ZTF20aabqvrk	2458857.0571875	1	20.0426	2458851.0493866	2458857.0571875	19.7573	20.0426	NULL	NULL	NULL	ORPHAN	227.72317996666666	49.1403243	3
ZTF19acxyugk	2458862.9913657	1	19.5323	2458806.0337269	2458862.9913657	19.4402	19.8427	19.3427	19.5057	19.3427	ORPHAN	214.59684565384617	52.181596661538464	13
ZTF20aafmefs	2458863.6273611	1	18.4723	2458863.6273611	2458863.6361806	18.3827	18.5146	NULL	NULL	NULL	ORPHAN	53.058164875	15.274462775	4
ZTF20aafmefs	2458863.6278125	1	18.3827	2458863.6273611	2458863.6361806	18.3827	18.5146	NULL	NULL	NULL	ORPHAN	53.058164875	15.274462775	4
ZTF20aafmevl	2458863.6282639	1	20.3847	2458863.6282639	2458863.6371181	20.2841	20.3847	NULL	NULL	NULL	ORPHAN	50.19654646666667	28.619401266666667	3
ZTF20aafmfdz	2458863.6296296	1	19.2374	2458863.6287153	2458863.6296296	19.0357	19.2374	NULL	NULL	NULL	ORPHAN	58.77491856666666	29.77524956666667	3
ZTF20aafmefs	2458863.6357292	1	18.5146	2458863.6273611	2458863.6361806	18.3827	18.5146	NULL	NULL	NULL	ORPHAN	53.058164875	15.274462775	4
ZTF20aafmefs	2458863.6361806	1	18.4488	2458863.6273611	2458863.6361806	18.3827	18.5146	NULL	NULL	NULL	ORPHAN	53.058164875	15.274462775	4
ZTF20aafmizq	2458863.6366319	1	20.0264	2458846.7589583	2458863.6366319	20.0264	20.0264	19.8375	19.965	19.8375	ORPHAN	61.0659549	12.417934533333332	3
ZTF20aaezviu	2458863.6366319	1	20.0074	2458846.7589583	2458863.6366319	20.0074	20.0074	19.8965	20.073	19.8965	ORPHAN	61.274854299999994	12.323474133333333	3
ZTF20aafmkev	2458863.6366319	1	19.9818	2458863.6366319	2458863.6515741	19.959	19.9946	NULL	NULL	NULL	ORPHAN	57.802170399999994	15.273402650000001	4
ZTF20aafmfyb	2458863.6371181	1	19.1402	2458863.6282639	2458863.6371181	19.1402	19.2854	NULL	NULL	NULL	ORPHAN	57.29068433333333	25.055144733333336	3
ZTF20aafmevl	2458863.6371181	1	20.2841	2458863.6282639	2458863.6371181	20.2841	20.3847	NULL	NULL	NULL	ORPHAN	50.19654646666667	28.619401266666667	3
ZTF20aafmkev	2458863.6375694	1	19.9696	2458863.6366319	2458863.6515741	19.959	19.9946	NULL	NULL	NULL	ORPHAN	57.802170399999994	15.273402650000001	4
ZTF20aafmkev	2458863.6511227	1	19.9946	2458863.6366319	2458863.6515741	19.959	19.9946	NULL	NULL	NULL	ORPHAN	57.802170399999994	15.273402650000001	4
ZTF20aafmkev	2458863.6515741	1	19.959	2458863.6366319	2458863.6515741	19.959	19.9946	NULL	NULL	NULL	ORPHAN	57.802170399999994	15.273402650000001	4
ZTF20aafmktu	2458863.6515741	1	19.4702	2458863.6375694	2458863.6515741	19.4605	19.53	NULL	NULL	NULL	ORPHAN	63.026471566666665	17.5181146	3
ZTF20aafzkqv	2458864.7347685	2	18.3837	2458839.9990625	2458864.7352315	16.6631	16.6631	18.3559	18.3837	18.3559	ORPHAN	129.4306871	32.90516066666667	3
ZTF20aafzkqv	2458864.7352315	2	18.3559	2458839.9990625	2458864.7352315	16.6631	16.6631	18.3559	18.3837	18.3559	ORPHAN	129.4306871	32.90516066666667	3
ZTF19acrbyzj	2458867.8836806	1	19.558	2458797.03125	2458867.8836806	16.8447	19.6679	16.8985	19.0894	19.0894	SN	127.05457086666668	0.02487777777777778	18
ZTF20aaekbdr	2458867.8855787	1	19.5514	2458855.8350926	2458867.8855787	19.4047	19.5571	19.191	19.6392	19.2933	SN	126.9638847	8.095590775000002	8
ZTF19adcejnq	2458867.9015972	1	19.3085	2458846.977419	2458867.9015972	18.7924	19.5206	18.1902	19.6513	19.0778	SN	128.19402363448276	50.39160126551724	29
