mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	ramean	decmean	mjdmin	mjdmax	magrmin	latestrmag	classification	ncand	sep
ZTF19acnpkvb	118.72811667500001	5.250792375	58790.48497689981	58796.532615699805	19.7322	19.7322	SN	4	1.038847989917196
ZTF19acnqocp	102.9250253	15.5607371	58787.523553200066	58790.531354200095	20.2578	20.2578	SN	2	9.950834993184666
ZTF19acnqtlo	121.0925052	33.9735147	58766.50923610013	58790.541504600085	19.8946	19.8946	SN	2	143.39227898621036
ZTF19acjwkbz	348.213482625	16.247475925	58785.22049769992	58791.107800900005	20.1551	20.2334	SN	4	4.443740035890944
ZTF19acnxcxc	342.2281962	40.996047950000005	58785.23900459986	58791.17218750017	19.9771	19.9771	SN	2	NULL
ZTF19acnjdvc	27.938703325	4.992973525	58791.29305560002	58806.249004600104	19.6464	20.044	SN	4	3.114267474363879
ZTF19abpkrwa	37.08036405	15.5880215	58707.4838657002	58791.29541670019	20.6003	20.6003	SN	2	38.041251636612316
ZTF19acocvkm	19.352281966666666	9.6985407	58771.19263890013	58791.34407409979	19.5017	19.5189	SN	3	65.91032917046803
ZTF19acjtplk	249.88182223333334	29.759780733333333	58781.113067099825	58792.11052080011	19.319	19.319	SN	3	19.380716677296775
ZTF19acmwkuf	173.18795579999997	40.135261533333335	58789.515520799905	58792.533703700174	19.8593	19.8593	SN	3	5.905212989446511
ZTF19acmwhup	184.39897975	30.460700825	58789.514594899956	58792.53415510012	19.8827	19.8827	SN	4	11.275782458413646
ZTF19acoysco	166.4896085	54.35419115	58789.510034699924	58806.55317129986	20.0721	20.0721	SN	4	132.92700441171718
ZTF19acoyrsg	170.35976054999998	45.135621224999994	58785.51343750022	58792.53324070014	20.1777	20.1777	SN	4	0.9361523773723888
ZTF19acmwybz	173.27088935	27.485350525	58779.517546299845	58792.53598379996	19.9987	19.9987	SN	4	5.168707473670827
ZTF18ablrkrg	263.283020825	30.1094936	58790.102256900165	58793.14342590002	16.7198	16.7198	SN	4	40.40191069838706
ZTF19acplxay	118.63889925000001	41.09637205	58793.515150499996	58793.52799770003	20.1847	20.1847	SN	2	13.069943513528777
ZTF19acqeaiz	142.74734123333334	-0.16831016666666665	58790.51240740018	58794.548125000205	19.9507	19.9507	SN	3	1.799548619618232
ZTF19acnjftp	42.57728482500001	-25.7635648	58790.29247689992	58804.323923599906	19.1092	19.2935	SN	4	9.103558906938051
ZTF19acrclpj	114.52483054999999	-9.2566635	58793.481099499855	58796.54406249989	19.4123	19.4123	SN	2	NULL
ZTF19acrddfv	318.75749155	-6.3617074250000005	58790.09810189996	58797.12848380022	19.6024	19.6024	SN	4	5.025920280077832
ZTF19acruddp	131.53050066666665	38.10181996666666	58794.54140050011	58805.51185189979	20.4847	20.4847	SN	3	4.097280464417131
